,date,state,variable,value
1456,2020-12-02,NY,deathsr,
1457,2020-12-03,NY,deathsr,
1458,2020-12-04,NY,deathsr,
1459,2020-12-05,NY,deathsr,
1460,2020-12-06,NY,deathsr,
1461,2020-12-07,NY,deathsr,
1462,2020-12-08,NY,deathsr,
1463,2020-12-09,NY,deathsr,73.28571428571429
1464,2020-12-10,NY,deathsr,76.85714285714286
1465,2020-12-11,NY,deathsr,82.0
1466,2020-12-12,NY,deathsr,83.71428571428571
1467,2020-12-13,NY,deathsr,92.28571428571429
1468,2020-12-14,NY,deathsr,93.0
1469,2020-12-15,NY,deathsr,100.28571428571429
1470,2020-12-16,NY,deathsr,103.28571428571429
1471,2020-12-17,NY,deathsr,109.0
1472,2020-12-18,NY,deathsr,113.14285714285714
1473,2020-12-19,NY,deathsr,117.57142857142857
1474,2020-12-20,NY,deathsr,117.0
1475,2020-12-21,NY,deathsr,122.71428571428571
1476,2020-12-22,NY,deathsr,125.0
1477,2020-12-23,NY,deathsr,133.14285714285714
1478,2020-12-24,NY,deathsr,136.71428571428572
1479,2020-12-25,NY,deathsr,137.71428571428572
1480,2020-12-26,NY,deathsr,139.0
1481,2020-12-27,NY,deathsr,140.42857142857142
1482,2020-12-28,NY,deathsr,138.71428571428572
1483,2020-12-29,NY,deathsr,136.57142857142858
1484,2020-12-30,NY,deathsr,136.85714285714286
1485,2020-12-31,NY,deathsr,136.14285714285714
1486,2021-01-01,NY,deathsr,142.0
1487,2021-01-02,NY,deathsr,140.57142857142858
1488,2021-01-03,NY,deathsr,143.0
1489,2021-01-04,NY,deathsr,149.85714285714286
1490,2021-01-05,NY,deathsr,151.28571428571428
1491,2021-01-06,NY,deathsr,153.42857142857142
1492,2021-01-07,NY,deathsr,160.85714285714286
1493,2021-01-08,NY,deathsr,159.0
1494,2021-01-09,NY,deathsr,169.57142857142858
1495,2021-01-10,NY,deathsr,172.42857142857142
1496,2021-01-11,NY,deathsr,176.71428571428572
1497,2021-01-12,NY,deathsr,181.85714285714286
1498,2021-01-13,NY,deathsr,182.0
1499,2021-01-14,NY,deathsr,187.71428571428572
1500,2021-01-15,NY,deathsr,193.85714285714286
1501,2021-01-16,NY,deathsr,190.71428571428572
1502,2021-01-17,NY,deathsr,194.57142857142858
1503,2021-01-18,NY,deathsr,192.71428571428572
1504,2021-01-19,NY,deathsr,192.14285714285714
1505,2021-01-20,NY,deathsr,198.28571428571428
1506,2021-01-21,NY,deathsr,193.0
1507,2021-01-22,NY,deathsr,189.57142857142858
1508,2021-01-23,NY,deathsr,188.28571428571428
1509,2021-01-24,NY,deathsr,188.42857142857142
1510,2021-01-25,NY,deathsr,191.0
1511,2021-01-26,NY,deathsr,191.42857142857142
1512,2021-01-27,NY,deathsr,183.71428571428572
1513,2021-01-28,NY,deathsr,184.42857142857142
1514,2021-01-29,NY,deathsr,185.0
1515,2021-01-30,NY,deathsr,186.0
1516,2021-01-31,NY,deathsr,184.14285714285714
1517,2021-02-01,NY,deathsr,180.57142857142858
1518,2021-02-02,NY,deathsr,178.71428571428572
1519,2021-02-03,NY,deathsr,179.0
1520,2021-02-04,NY,deathsr,171.85714285714286
1521,2021-02-05,NY,deathsr,169.57142857142858
1522,2021-02-06,NY,deathsr,173.42857142857142
1523,2021-02-07,NY,deathsr,172.71428571428572
1524,2021-02-08,NY,deathsr,165.42857142857142
1525,2021-02-09,NY,deathsr,165.57142857142858
1526,2021-02-10,NY,deathsr,166.28571428571428
1527,2021-02-11,NY,deathsr,164.28571428571428
1528,2021-02-12,NY,deathsr,160.85714285714286
1529,2021-02-13,NY,deathsr,155.0
1530,2021-02-14,NY,deathsr,149.14285714285714
1531,2021-02-15,NY,deathsr,148.57142857142858
1532,2021-02-16,NY,deathsr,142.85714285714286
1533,2021-02-17,NY,deathsr,136.57142857142858
1534,2021-02-18,NY,deathsr,137.85714285714286
1535,2021-02-19,NY,deathsr,140.14285714285714
1536,2021-02-20,NY,deathsr,134.0
1537,2021-02-21,NY,deathsr,130.71428571428572
1538,2021-02-22,NY,deathsr,128.85714285714286
1539,2021-02-23,NY,deathsr,125.57142857142857
1540,2021-02-24,NY,deathsr,124.71428571428571
1541,2021-02-25,NY,deathsr,119.0
1542,2021-02-26,NY,deathsr,113.57142857142857
1543,2021-02-27,NY,deathsr,113.14285714285714
1544,2021-02-28,NY,deathsr,113.85714285714286
1545,2021-03-01,NY,deathsr,113.28571428571429
1546,2021-03-02,NY,deathsr,111.85714285714286
1547,2020-12-02,USA,deathsr,
1548,2020-12-03,USA,deathsr,
1549,2020-12-04,USA,deathsr,
1550,2020-12-05,USA,deathsr,
1551,2020-12-06,USA,deathsr,
1552,2020-12-07,USA,deathsr,
1553,2020-12-08,USA,deathsr,
1554,2020-12-09,USA,deathsr,2329.285714285714
1555,2020-12-10,USA,deathsr,2341.4285714285716
1556,2020-12-11,USA,deathsr,2386.8571428571427
1557,2020-12-12,USA,deathsr,2396.1428571428573
1558,2020-12-13,USA,deathsr,2431.285714285714
1559,2020-12-14,USA,deathsr,2451.8571428571427
1560,2020-12-15,USA,deathsr,2481.0
1561,2020-12-16,USA,deathsr,2546.0
1562,2020-12-17,USA,deathsr,2597.0
1563,2020-12-18,USA,deathsr,2584.8571428571427
1564,2020-12-19,USA,deathsr,2628.5714285714284
1565,2020-12-20,USA,deathsr,2638.8571428571427
1566,2020-12-21,USA,deathsr,2679.5714285714284
1567,2020-12-22,USA,deathsr,2710.1428571428573
1568,2020-12-23,USA,deathsr,2681.714285714286
1569,2020-12-24,USA,deathsr,2614.0
1570,2020-12-25,USA,deathsr,2365.285714285714
1571,2020-12-26,USA,deathsr,2234.5714285714284
1572,2020-12-27,USA,deathsr,2206.1428571428573
1573,2020-12-28,USA,deathsr,2197.0
1574,2020-12-29,USA,deathsr,2252.5714285714284
1575,2020-12-30,USA,deathsr,2309.1428571428573
1576,2020-12-31,USA,deathsr,2400.285714285714
1577,2021-01-01,USA,deathsr,2513.285714285714
1578,2021-01-02,USA,deathsr,2617.1428571428573
1579,2021-01-03,USA,deathsr,2634.4285714285716
1580,2021-01-04,USA,deathsr,2655.8571428571427
